expression_id,domain_zh,expression_zh,expression_en
E001,政治,中国特色社会主义,Socialism with Chinese characteristics
E002,政治,全过程人民民主,Whole-process people’s democracy
E003,政治,全面深化改革,comprehensively deepen reforms
E004,政治,中国式现代化,Chinese Path to Modernization
E005,政治,四个自信,Four-sphere Confidence
E006,政治,群众路线,mass line
E007,政治,不忘初心、牢记使命,Staying True to Our Original Aspiration and Founding Mission
E008,政治,"""五位一体""总体布局",Five-sphere Integrated Plan
E009,政治,社会主义核心价值观,Core Socialist Values
E010,政治,治大国若烹小鲜,Governing a big country is like cooking small fish
E011,经济,经济双循环,dual circulation economy
E012,经济,供给侧结构性改革,Supply-Side Structural Reform
E013,经济,乡村振兴,rural revitalization
E014,经济,一带一路,the Belt and Road
E015,经济,共同富裕,Common Prosperity
E016,经济,脱贫攻坚,poverty alleviation
E017,经济,中国特色市场经济,socialist market economy
E018,经济,创新驱动发展,innovation-driven development
E019,经济,数字经济,Digital Economy
E020,经济,产学研一体化,industry-university-researeh integration
E021,法治,中国特色社会主义法治体系,the system of socialist rule of law with Chinese characteristics
E022,法治,坚持依宪治国、依宪执政,to uphold Constitution-based governance and exercise of state power
E023,法治,国家治理体系和治理能力现代化,the modernization of China's system and capacity for governance
E024,法治,“党大还是法大”是伪命题，是政治陷阱,Greater party or greater law is a false proposition and a political trap
E025,法治,全面依法治国,Advancing Law-Based Governance
E026,法治,法治中国,Rule of Law in China
E027,法治,以人民为中心的法治,People-centered rule of law
E028,法治,良法善治,Good Law and Good Governance
E029,法治,“大块头”和“小快灵”,"big build, small agile spirit"
E030,法治,法治是最好的营商环境,The rule of law is the best business environment
E031,文化,中华优秀传统文化创造性转化、创新性发展,creative transformation and development of traditional Chinese culture
E032,文化,文化软实力,soft power of Chinese culture
E033,文化,中华文化复兴,Chinese Cultural Renaissance
E034,文化,和而不同,Harmony in diversity
E035,文化,人类文明新形态,new model for human progress
E036,文化,铸牢中华民族共同体意识,to heighten a sense of identity of the Chinese nation
E037,文化,中国传统节日,Chinese traditional festival
E038,文化,家国情怀,Patriotism with familial devotion
E039,文化,文化走出去,Bringing Chinese culture to the world
E040,文化,以文润心、以文化人,"Nurturing the soul with culture, cultivating people with values"
E041,外交,人类命运共同体,A community with a shared future for mankind
E042,外交,文明交流互鉴,cultural exchanges and mutual learning
E043,外交,中国特色大国外交,major-country diplomacy with Chinese characteristics
E044,外交,讲好中国故事，传播好中国声音,"telling China's stories, and conveying China's voice"
E045,外交,可信可爱可敬的中国形象,"China as a country worthy of friendship, trust and respect."
E046,外交,两岸一家亲,both sides of the Taiwan Straits are one family
E047,外交,不搞例外主义，不搞双重标准,There must be no practice of exceptionalism or double standards
E048,外交,跳出小圈子和零和博弈思维,Break out of the small circle and zero-sum game mentality
E049,外交,大国担当,Responsibility of a major country
E050,外交,新型国际关系,A new type of international relations
E051,民生,坚持以人民为中心,to uphold a people-centered approach
E052,民生,全面建成小康社会,to build a moderately prosperous society in all respects
E053,民生,精准扶贫,to take targeted measures to help people lift themselves out of poverty
E054,民生,人的全面发展,well-rounded personal development
E055,民生,江山就是人民，人民就是江山,This country is its people； the people are the country
E056,民生,就业优先,pro-employment policies
E057,民生,健康中国,Healthy China initiative
E058,民生,教育公平,Equal Access to Education
E059,民生,人民首创精神,people's pioneering initiative
E060,民生,"新时代""枫桥经验""",the Fengqiao experience in promoting social harmony in the new era
E061,生态,绿水青山就是金山银山,Lucid Waters and Lush Mountains Are Invaluable Assets
E062,生态,碳达峰、碳中和,carbon peaking and carbon neutrality
E063,生态,人与自然和谐共生,Harmony between Humanity and Nature
E064,生态,可持续发展,sustainable development
E065,生态,蓝天保卫战,Blue Sky Protection Campaign
E066,生态,生态补偿机制,ecological compensation mechanism
E067,生态,山水林田湖草沙生命共同体,"Mountains, rivers, forests, farmlands, lakes, and grasslands are a life community"
E068,生态,美丽中国,Beautiful China initiative
E069,生态,资源节约型环境友好型社会,"A Resource-conserving, Environment-friendly Society"
E070,生态,以自然之道，养万物之生,the solutions lie in nature
